Day,Min,Max,Top_Mode,Bottom_Mode,Mean,Median
2018-10-15,45,91,51,50,61,63
2018-10-16,46,101,47,46,64,82
2018-10-17,44,89,45,44,60,74
2018-10-18,41,89,60,42,57,54
2018-10-19,41,95,68,44,64,73
2018-10-20,41,103,64,41,61,61
2018-10-21,40,118,43,42,62,93
2018-10-22,42,136,44,43,61,47
2018-10-23,40,110,60,59,59,64
2018-10-24,41,107,67,61,62,60
2018-10-25,42,108,60,45,59,71
2018-10-26,40,86,45,42,59,65
2018-10-27,42,89,48,47,57,48
2018-10-28,41,93,61,49,63,63
2018-10-29,49,103,69,63,68,68
2018-10-30,43,87,46,45,57,59
2018-10-31,44,92,60,47,60,78
2018-11-01,40,85,59,48,60,63
2018-11-02,44,95,50,48,63,84
2018-11-03,53,149,57,56,66,61
2018-11-04,40,104,45,44,60,57
2018-11-05,40,98,72,45,66,70
2018-11-06,45,95,51,49,66,61
2018-11-07,43,105,60,55,61,70
2018-11-08,43,95,63,56,62,61
2018-11-09,47,85,69,53,64,58
2018-11-10,48,151,61,59,70,78
2018-11-11,48,86,62,61,64,67
2018-11-12,43,107,47,46,62,47
2018-11-13,43,100,62,61,70,62
2018-11-14,45,91,48,47,63,48
2018-11-15,44,125,67,65,65,78
2018-11-16,45,90,67,50,65,72
2018-11-17,51,120,60,58,64,62
2018-11-18,45,121,49,47,65,95
2018-11-19,40,122,48,47,65,70
2018-11-20,43,135,62,55,69,66
2018-11-21,52,95,62,61,70,61
2018-11-22,47,125,66,58,67,66
2018-11-23,56,97,63,61,69,69
2018-11-24,42,99,58,49,63,59
2018-11-25,46,197,51,50,66,64
2018-11-26,40,98,52,50,67,86
2018-11-27,46,118,68,55,68,60
2018-11-28,49,141,52,50,65,60
2018-11-29,42,116,50,49,64,68
2018-11-30,43,91,52,48,63,73
2018-12-01,45,96,63,50,63,73
2018-12-02,54,104,69,68,69,69
2018-12-03,47,95,52,50,65,66
2018-12-04,42,131,49,48,66,78
2018-12-05,48,95,66,60,64,59
2018-12-06,48,124,74,51,68,65
2018-12-07,45,117,51,50,66,59
2018-12-08,54,108,67,60,68,70
2018-12-09,55,96,70,67,69,64
2018-12-10,44,170,67,46,64,67
2018-12-11,45,98,50,49,63,51
2018-12-12,48,100,61,54,66,85
2018-12-13,48,91,52,49,61,74
2018-12-14,46,101,52,49,58,51
2018-12-15,43,95,50,49,64,71
2018-12-16,67,80,71,67,73,67
2018-12-17,49,97,51,50,64,68
2018-12-18,44,84,47,46,61,75
2018-12-19,44,96,68,66,62,68
2018-12-20,47,89,56,53,64,54
2018-12-21,46,126,52,50,66,56
2018-12-22,40,98,60,55,64,62
2018-12-23,54,94,70,67,67,59
2018-12-24,50,97,73,69,70,72
2018-12-25,48,149,69,66,69,60
2018-12-26,46,88,62,61,62,57
2018-12-27,50,109,53,52,66,71
2018-12-28,46,87,69,51,63,57
2018-12-29,54,85,67,62,65,74
2018-12-30,44,95,52,51,63,65
2018-12-31,44,109,69,58,64,68
2019-01-01,46,101,53,48,63,69
2019-01-02,47,91,54,53,63,54
2019-01-03,47,93,69,67,64,68
2019-01-04,45,129,62,50,63,58
2019-01-05,43,108,66,59,65,68
2019-01-06,46,104,60,58,66,58
2019-01-07,44,91,70,66,63,75
2019-01-08,47,140,67,58,66,64
2019-01-09,45,170,67,66,66,62
2019-01-10,47,92,51,50,64,64
2019-01-11,49,101,71,63,69,56
2019-01-12,46,109,49,48,63,62
2019-01-13,43,101,61,60,60,65
2019-01-14,44,126,63,49,62,80
2019-01-15,41,120,51,50,65,73
2019-01-16,45,95,58,57,60,65
2019-01-17,46,99,49,48,65,68
2019-01-18,43,98,49,47,63,61
2019-01-19,52,95,71,65,72,88
2019-01-20,43,86,66,65,61,65
2019-01-21,40,99,67,66,62,68
2019-01-22,42,119,57,48,62,60
2019-01-23,43,112,60,58,60,57
2019-01-24,46,96,69,62,63,68
2019-01-25,46,99,52,50,62,58
2019-01-26,39,97,58,45,58,62
2019-01-27,44,106,68,48,63,64
2019-01-28,43,94,51,50,62,63
2019-01-29,44,99,51,49,64,79
2019-01-30,38,93,67,60,63,62
2019-01-31,43,94,62,49,62,63
2019-02-01,42,130,49,47,64,95
2019-02-02,42,95,68,54,61,55
2019-02-03,43,206,48,45,65,57
2019-02-04,45,94,62,60,61,54
2019-02-05,45,95,61,48,61,58
2019-02-06,46,95,52,51,63,87
2019-02-07,44,105,59,55,67,63
2019-02-08,42,87,46,44,57,70
2019-02-09,31,133,41,40,57,88
2019-02-10,38,177,43,42,57,127
2019-02-11,41,120,46,44,61,60
2019-02-12,41,104,55,48,61,67
2019-02-13,37,116,39,38,56,104
2019-02-14,37,88,45,43,55,73
2019-02-16,65,80,66,65,71,76
2019-02-17,46,95,60,59,64,61
2019-02-18,49,102,60,59,65,69
2019-02-19,51,115,60,58,70,73
2019-02-20,48,136,60,59,69,71
2019-02-21,55,155,60,56,68,64
2019-02-22,47,105,60,59,66,64
2019-02-23,49,128,60,59,70,84
2019-02-24,40,106,60,59,68,91
2019-02-25,56,131,60,56,76,87
